,disease,year,number_of_publications,sum_of_publications,yearXnumberPub,sum_yearXnumberPub,average_weighted_year
0,Q131755,"['1948', '1950', '1951', '1952', '1956', '1959', '1961', '1962', '1963', '1964', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 3, 2, 1, 5, 1, 1, 2, 4, 4, 5, 4, 6, 16, 17, 18, 11, 8, 22, 18, 31, 29, 32, 44, 35, 79, 80, 135, 107, 189, 211, 221, 242, 323, 397, 535, 619, 610, 675, 687, 749, 727, 821, 859, 937, 887, 932, 930, 901, 893, 945, 11, 2]",15042,"[1948, 3900, 1951, 1952, 3912, 1959, 1961, 1962, 1963, 1964, 1967, 3936, 1969, 5910, 5913, 3944, 1973, 9870, 1975, 1976, 3954, 7912, 7916, 9900, 7924, 11892, 31728, 33728, 35730, 21846, 15896, 43736, 35802, 61690, 57739, 63744, 87692, 69790, 157605, 159680, 269595, 213786, 377811, 422000, 442221, 484484, 646969, 795588, 1072675, 1241714, 1224270, 1355400, 1380183, 1505490, 1461997, 1651852, 1729167, 1887118, 1787305, 1878912, 1875810, 1818218, 1802967, 1908900, 22231, 4044]",30249516,2011.0035899481452
1,Q12174,"['1863', '1865', '1870', '1880', '1885', '1888', '1890', '1891', '1892', '1894', '1896', '1900', '1908', '1913', '1921', '1922', '1923', '1924', '1927', '1928', '1929', '1930', '1931', '1932', '1933', '1934', '1935', '1936', '1937', '1939', '1943', '1945', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 0, 0, 1, 1, 0, 2, 2, 2, 1, 1, 0, 1, 0, 1, 2, 1, 1, 3, 3, 1, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 8, 2, 4, 4, 6, 5, 6, 9, 10, 13, 12, 11, 16, 18, 13, 20, 25, 28, 42, 53, 68, 77, 121, 101, 109, 126, 137, 182, 224, 204, 232, 266, 238, 299, 174, 209, 244, 220, 258, 310, 298, 311, 314, 321, 393, 446, 412, 426, 402, 487, 517, 618, 696, 726, 836, 1163, 1323, 1495, 1818, 2168, 2366, 2787, 3466, 3736, 4025, 4387, 4744, 6185, 5548, 5461, 5717, 4812, 3586, 990, 774, 45, 30]",77974,"[1863, 0, 0, 1880, 1885, 0, 3780, 3782, 3784, 1894, 1896, 0, 1908, 0, 1921, 3844, 1923, 1924, 5781, 5784, 1929, 1930, 3862, 5796, 1933, 3868, 3870, 3872, 1937, 1939, 1943, 1945, 15568, 3894, 7792, 7796, 11700, 9755, 11712, 17577, 19540, 25415, 23472, 21527, 31328, 35262, 25480, 39220, 49050, 54964, 82488, 104145, 133688, 151459, 238128, 198869, 214730, 248346, 270164, 359086, 442176, 402900, 458432, 525882, 470764, 591721, 344520, 414029, 483608, 436260, 511872, 615350, 591828, 617957, 624232, 638469, 782070, 887986, 820704, 849018, 801588, 971565, 1031932, 1234146, 1390608, 1451274, 1672000, 2327163, 2648646, 2994485, 3643272, 4346840, 4746196, 5593509, 6959728, 7505624, 8090250, 8822257, 9544928, 12450405, 11173672, 11003915, 11525472, 9705804, 7236548, 1998810, 1563480, 90945, 60660]",156586328,2008.1864211147306
2,Q4340209,"['1621', '1672', '1816', '1829', '1841', '1856', '1863', '1865', '1866', '1867', '1870', '1875', '1877', '1887', '1888', '1891', '1892', '1894', '1896', '1900', '1901', '1905', '1906', '1909', '1911', '1913', '1917', '1934', '1935', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 4, 8, 2, 2, 5, 3, 5, 4, 6, 8, 14, 15, 9, 10, 14, 16, 17, 20, 9, 13, 25, 24, 18, 11, 17, 14, 26, 14, 19, 24, 25, 14, 41, 31, 68, 65, 62, 85, 79, 68, 86, 100, 111, 116, 128, 143, 111, 121, 125, 129, 125, 147, 163, 157, 177, 206, 226, 238, 294, 303, 436, 442, 481, 543, 586, 579, 668, 730, 836, 925, 950, 902, 1176, 1353, 1446, 22, 7]",16233,"[1621, 0, 1816, 1829, 1841, 1856, 1863, 0, 1866, 1867, 0, 1875, 1877, 1887, 0, 3782, 1892, 1894, 1896, 1900, 1901, 3810, 3812, 3818, 1911, 3826, 1917, 1934, 3870, 7784, 15576, 3896, 3898, 9750, 5853, 9760, 7812, 11724, 15640, 27384, 29355, 17622, 19590, 27440, 31376, 33354, 39260, 17676, 25545, 49150, 47208, 35424, 21659, 33490, 27594, 51272, 27622, 37506, 47400, 49400, 27678, 81098, 61349, 134640, 128765, 122884, 168555, 156736, 134980, 170796, 198700, 220668, 230724, 254720, 284713, 221112, 241153, 249250, 257355, 249500, 293559, 325674, 313843, 354000, 412206, 452452, 476714, 589176, 607515, 874616, 887094, 965848, 1090887, 1177860, 1164369, 1344016, 1469490, 1683704, 1863875, 1915200, 1819334, 2373168, 2731707, 2920920, 44462, 14154]",32607600,2008.7229717242653
3,Q11081,"['1913', '1936', '1939', '1940', '1941', '1947', '1948', '1950', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 1, 1, 1, 1, 1, 1, 2, 4, 3, 4, 1, 2, 2, 1, 2, 2, 1, 6, 4, 2, 6, 2, 6, 3, 12, 14, 8, 15, 7, 11, 18, 14, 17, 33, 17, 32, 72, 103, 124, 222, 343, 345, 415, 522, 584, 678, 714, 667, 804, 675, 954, 1017, 1069, 969, 982, 1239, 1345, 1303, 1470, 1525, 1663, 1483, 1777, 1998, 2269, 2200, 2596, 2999, 3063, 3236, 3311, 3367, 2334, 2484, 1728, 24, 2]",54933,"[1913, 1936, 1939, 1940, 1941, 1947, 1948, 3900, 7812, 5862, 7820, 1956, 3914, 3916, 1959, 3920, 3922, 1962, 11778, 7856, 3930, 11796, 3934, 11808, 5907, 23640, 27594, 15776, 29595, 13818, 21725, 35568, 27678, 33626, 65307, 33660, 63392, 142704, 204249, 246016, 440670, 681198, 685515, 825020, 1038258, 1162160, 1349898, 1422288, 1329331, 1603176, 1346625, 1904184, 2030949, 2135862, 1937031, 1964000, 2479239, 2692690, 2609909, 2945880, 3057625, 3335978, 2976381, 3568216, 4013982, 4560690, 4424200, 5223152, 6036987, 6168882, 6520540, 6674976, 6791239, 4710012, 5015196, 3490560, 48504, 4044]",110306911,2008.0263411792548
4,Q520127,"['1899', '1900', '1913', '1924', '1928', '1945', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1957', '1960', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']","[1, 0, 0, 1, 1, 2, 5, 1, 6, 4, 1, 4, 11, 11, 8, 1, 1, 3, 1, 2, 16, 27, 20, 18, 27, 29, 26, 20, 16, 29, 31, 30, 44, 47, 38, 40, 67, 65, 81, 114, 117, 138, 135, 126, 126, 155, 135, 105, 121, 136, 122, 142, 142, 149, 140, 168, 170, 147, 194, 209, 235, 245, 268, 320, 325, 436, 410, 511, 588, 571, 650, 636, 682, 659, 744, 841, 18]",11865,"[1899, 0, 0, 1924, 1928, 3890, 9735, 1948, 11694, 7800, 1951, 7808, 21483, 21494, 15640, 1957, 1960, 5886, 1963, 3928, 31440, 53082, 39340, 35424, 53163, 57130, 51246, 39440, 31568, 57246, 61225, 59280, 86988, 92966, 75202, 79200, 132727, 128830, 160623, 226176, 232245, 274068, 268245, 250488, 250614, 308450, 268785, 209160, 241153, 271184, 243390, 283432, 283574, 297702, 279860, 336000, 340170, 294294, 388582, 418836, 471175, 491470, 537876, 642560, 652925, 876360, 824510, 1028132, 1183644, 1149994, 1309750, 1282176, 1375594, 1329862, 1502136, 1698820, 36378]",23810778,2006.8080910240203
5,Q35869,"['1796', '1799', '1800', '1810', '1811', '1816', '1819', '1826', '1828', '1830', '1831', '1834', '1835', '1842', '1843', '1847', '1854', '1856', '1857', '1858', '1859', '1860', '1862', '1863', '1865', '1867', '1869', '1870', '1871', '1872', '1873', '1874', '1876', '1877', '1878', '1880', '1882', '1883', '1884', '1885', '1886', '1887', '1888', '1889', '1890', '1892', '1893', '1897', '1898', '1899', '1900', '1901', '1902', '1903', '1904', '1905', '1906', '1907', '1908', '1909', '1910', '1911', '1912', '1913', '1914', '1916', '1917', '1918', '1919', '1920', '1921', '1922', '1923', '1924', '1925', '1926', '1927', '1928', '1929', '1930', '1931', '1932', '1933', '1934', '1935', '1936', '1937', '1938', '1939', '1940', '1941', '1942', '1943', '1944', '1945', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 0, 1, 2, 11, 8, 1, 1, 1, 1, 1, 0, 2, 1, 3, 2, 1, 2, 1, 3, 1, 1, 2, 4, 4, 1, 7, 2, 7, 3, 3, 1, 1, 8, 1, 2, 3, 1, 1, 12, 1, 2, 3, 7, 4, 25, 8, 4, 1, 1, 18, 4, 4, 3, 12, 9, 9, 5, 4, 6, 14, 10, 42, 14, 9, 9, 19, 16, 19, 13, 4, 14, 8, 9, 2, 1, 9, 3, 20, 65, 75, 72, 71, 184, 268, 294, 271, 268, 252, 239, 270, 209, 183, 192, 253, 247, 311, 367, 315, 427, 383, 437, 483, 479, 561, 449, 461, 465, 516, 589, 583, 599, 525, 651, 691, 749, 869, 847, 890, 997, 1065, 996, 1097, 1207, 1115, 1240, 1318, 1283, 1390, 1478, 1502, 1650, 1875, 1968, 2033, 2021, 2120, 2059, 2235, 2413, 2230, 2226, 2279, 2295, 2332, 2462, 2563, 2502, 2348, 2476, 2197, 2349, 2175, 1129, 25, 13]",81217,"[1796, 1799, 1800, 1810, 3622, 3632, 1819, 1826, 3656, 1830, 3662, 1834, 1835, 1842, 1843, 3694, 1854, 0, 1857, 3716, 20449, 14880, 1862, 1863, 1865, 1867, 1869, 0, 3742, 1872, 5619, 3748, 1876, 3754, 1878, 5640, 1882, 1883, 3768, 7540, 7544, 1887, 13216, 3778, 13230, 5676, 5679, 1897, 1898, 15192, 1900, 3802, 5706, 1903, 1904, 22860, 1906, 3814, 5724, 13363, 7640, 47775, 15296, 7652, 1914, 1916, 34506, 7672, 7676, 5760, 23052, 17298, 17307, 9620, 7700, 11556, 26978, 19280, 81018, 27020, 17379, 17388, 36727, 30944, 36765, 25168, 7748, 27132, 15512, 17460, 3882, 1942, 17487, 5832, 38900, 126490, 146025, 140256, 138379, 358800, 522868, 573888, 529263, 523672, 492660, 467484, 528390, 409222, 358497, 376320, 496133, 484614, 610493, 720788, 618975, 839482, 753361, 860016, 951027, 943630, 1105731, 885428, 909553, 917910, 1019100, 1163864, 1152591, 1184822, 1038975, 1288980, 1368871, 1484518, 1723227, 1680448, 1766650, 1980042, 2116155, 1980048, 2181933, 2401930, 2219965, 2470080, 2626774, 2558302, 2773050, 2950088, 2999494, 3296700, 3748125, 3936000, 4068033, 4046042, 4246360, 4126236, 4481175, 4840478, 4475610, 4469808, 4578511, 4612950, 4689652, 4953544, 5159319, 5039028, 4731220, 4991616, 4431349, 4740282, 4391325, 2280580, 50525, 26286]",162275381,1998.0469729243878
6,Q55950055,"['1972', '1975', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']","[1, 1, 1, 4, 3, 4, 16, 9, 11, 7, 5, 10, 10, 7, 16, 11, 8, 8, 14, 9, 7, 7, 9, 5, 9, 8, 7, 8, 14, 8, 12, 17, 12, 26, 24, 23, 19, 17, 22, 21, 27, 24, 22, 34, 22, 34]",593,"[1972, 1975, 1977, 7912, 5937, 7920, 31696, 17838, 21813, 13888, 9925, 19860, 19870, 13916, 31824, 21890, 15928, 15936, 27902, 17946, 13965, 13972, 17973, 9990, 17991, 16000, 14007, 16016, 28042, 16032, 24060, 34102, 24084, 52208, 48216, 46230, 38209, 34204, 44286, 42294, 54405, 48384, 44374, 68612, 44418, 68680]",1188679,2004.5177065767284
7,Q42844,"['1621', '1672', '1816', '1829', '1856', '1863', '1865', '1866', '1867', '1870', '1875', '1877', '1887', '1888', '1891', '1892', '1894', '1896', '1900', '1901', '1905', '1906', '1909', '1911', '1913', '1917', '1934', '1935', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 7, 2, 1, 4, 3, 5, 4, 4, 7, 13, 15, 8, 9, 12, 13, 15, 15, 8, 12, 19, 22, 16, 10, 12, 13, 18, 14, 15, 19, 18, 11, 36, 27, 58, 58, 60, 80, 69, 56, 67, 75, 81, 85, 83, 93, 66, 87, 72, 82, 86, 103, 105, 110, 146, 152, 188, 199, 258, 248, 378, 389, 421, 486, 528, 515, 603, 637, 709, 807, 829, 764, 1069, 1244, 1367, 19, 6]",13976,"[1621, 0, 1816, 1829, 1856, 1863, 0, 1866, 1867, 0, 1875, 1877, 1887, 0, 1891, 1892, 1894, 1896, 1900, 1901, 3810, 3812, 3818, 1911, 3826, 1917, 1934, 3870, 3892, 13629, 3896, 1949, 7800, 5853, 9760, 7812, 7816, 13685, 25428, 29355, 15664, 17631, 23520, 25493, 29430, 29445, 15712, 23580, 37354, 43274, 31488, 19690, 23640, 25623, 35496, 27622, 29610, 37525, 35568, 21747, 71208, 53433, 114840, 114898, 118920, 158640, 136896, 111160, 133062, 149025, 161028, 169065, 165170, 185163, 131472, 173391, 143568, 163590, 171656, 205691, 209790, 219890, 292000, 304152, 376376, 398597, 517032, 497240, 758268, 780723, 845368, 976374, 1061280, 1035665, 1213236, 1282281, 1427926, 1626105, 1671264, 1540988, 2157242, 2511636, 2761340, 38399, 12132]",28081796,2009.287063537493
8,Q206901,"['1873', '1881', '1884', '1885', '1887', '1888', '1894', '1895', '1897', '1900', '1901', '1903', '1907', '1908', '1911', '1913', '1916', '1917', '1924', '1926', '1928', '1929', '1930', '1931', '1933', '1934', '1935', '1937', '1938', '1943', '1945', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 5, 2, 1, 2, 2, 1, 1, 1, 5, 2, 1, 4, 2, 5, 6, 16, 14, 14, 17, 14, 21, 15, 22, 14, 23, 12, 13, 12, 19, 17, 21, 24, 31, 28, 39, 54, 62, 39, 49, 45, 33, 58, 51, 58, 63, 57, 56, 73, 76, 72, 53, 79, 139, 77, 107, 94, 133, 107, 178, 165, 231, 240, 203, 233, 291, 307, 310, 261, 305, 339, 358, 474, 507, 496, 568, 674, 716, 798, 840, 851, 933, 965, 1008, 1015, 1030, 890, 21, 1]",17293,"[1873, 1881, 3768, 1885, 1887, 1888, 1894, 1895, 1897, 0, 1901, 1903, 1907, 1908, 1911, 1913, 1916, 3834, 5772, 3852, 9640, 3858, 1930, 3862, 3866, 1934, 1935, 1937, 9690, 3886, 1945, 7784, 3894, 9740, 11694, 31200, 27314, 27328, 33201, 27356, 41055, 29340, 43054, 27412, 45057, 23520, 25493, 23544, 37297, 33388, 41265, 47184, 60977, 55104, 76791, 106380, 122202, 76908, 96677, 88830, 65175, 114608, 100827, 114724, 124677, 112860, 110936, 144686, 150708, 142848, 105205, 156894, 276193, 153076, 212823, 187060, 264803, 213144, 354754, 329010, 460845, 479040, 405391, 465534, 581709, 614000, 620310, 522522, 610915, 679356, 717790, 950844, 1017549, 995968, 1141112, 1354740, 1439876, 1605576, 1690920, 1713914, 1879995, 1945440, 2033136, 2048270, 2079570, 1797800, 42441, 2022]",34702753,2006.7514601283756
9,Q844935,"['1914', '1924', '1925', '1926', '1927', '1928', '1929', '1930', '1931', '1932', '1933', '1934', '1935', '1936', '1938', '1939', '1940', '1941', '1942', '1943', '1945', '1946', '1947', '1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975', '1976', '1977', '1978', '1979', '1980', '1981', '1982', '1983', '1984', '1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","[1, 1, 1, 1, 4, 3, 1, 4, 5, 4, 9, 3, 2, 5, 4, 3, 2, 2, 2, 2, 13, 63, 68, 111, 76, 124, 146, 166, 141, 185, 176, 210, 235, 227, 210, 204, 211, 256, 295, 319, 343, 375, 476, 536, 582, 545, 665, 766, 826, 850, 986, 1035, 1029, 1040, 965, 1240, 1388, 1479, 1516, 1672, 1724, 1827, 2149, 2163, 2152, 2264, 2256, 2187, 2279, 2175, 2410, 2375, 2558, 2673, 2932, 3326, 3517, 3541, 3782, 4191, 4540, 4462, 4802, 4795, 4994, 5324, 5397, 5570, 5884, 6032, 5692, 5586, 4880, 5286, 5026, 4950, 102, 2]",157614,"[1914, 1924, 1925, 1926, 7708, 5784, 1929, 7720, 9655, 7728, 17397, 5802, 3870, 9680, 7752, 5817, 3880, 3882, 3884, 3886, 25285, 122598, 132396, 216228, 148124, 241800, 284846, 324032, 275373, 361490, 344080, 410760, 459895, 444466, 411390, 399840, 413771, 502272, 579085, 626516, 673995, 737250, 936292, 1054848, 1145958, 1073650, 1310715, 1510552, 1629698, 1677900, 1947350, 2045160, 2034333, 2057120, 1909735, 2455200, 2749628, 2931378, 3006228, 3317248, 3422140, 3628422, 4270063, 4300044, 4280328, 4505360, 4491696, 4356504, 4542047, 4336950, 4807950, 4740500, 5108326, 5340654, 5861068, 6652000, 7037517, 7089082, 7575346, 8398764, 9102700, 8950772, 9637614, 9628360, 10032946, 10701240, 10853367, 11206840, 11844492, 12148448, 11469380, 11261376, 9842960, 10667148, 10147494, 9999000, 206142, 4044]",315491632,2001.6726432931084
